addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
DJMCDiBw1Yim2zJQjSysVXxfftSn5z7vv5Kh8yMFv14C,1.0,9.428483014283213e17,9.274053282217532e17,1016651805566158.6
Dkkob1jrSQQo3jUr2nBiqSPdXRTJsvkd79X2yZq1W212,2.0,3.919232295807454e16,3.684929967379624e16,1063583929817381.0
72ydASQ9fBq9WAQsVWKeqA4ujTqJEu17FGQRcYaVFHki,7.0,9.657707469029434e16,9.071423967319354e16,1064629710156004.1
4jx1MNgbYkXoKeYjGWQ2eyx1aFPGvbd2dbV7386K45gF,1.0,6.037025133034952e16,5.5218259088548216e16,1093302330186461.6
2pafBtnSbzF23pjct87P3BJhMfHr5aom1T4b7ntdPkS2,6.0,1.3599953182911234e16,1.24131748206404e16,1095606352075013.2
3KT4PL1e4Ujz6ZCxRGUGYai6QHDBQjZ8zQpvLXvXrjom,1.0,6202425477079060.0,5608590907484904.0,1105879458742775.9
43iDEWZEzvs6hFsxdDBMykgGhBVRS7P2fyzzq6JZJRFA,11.0,4805071479525409.0,4303031942043851.5,1116671115679215.5
Dy8AWZYpBahKGmPemPH3TgvgKLKLR8XXAEa3PXFruf8G,5.0,2.2172802886113376e16,1.974739108784845e16,1122821885051813.4
CTynEqMjkiwKR28DY94XbuwFFBS7qjF5TP7Y81ZLvYPG,4.0,7.972060950103165e16,7.048727890436742e16,1130992864814534.8
ChJyz27MhJKU1odhzewfzysSpWBVv2btBXHSdbWcpx66,7.0,3.049079767458948e17,2.6842139987478083e17,1135930208575527.0
71a8JgA4oY7fCfVua4FP2HcHGhDXvkKc2cRTFQdg3AyJ,12.0,1.8712136267212934e17,1.6382215440459402e17,1142222572717441.8
8Y4yFfR5iaNfFX3UAVfiMy2pS3s9QjNPexJN7aVFGvrF,5.0,4506533264143202.0,3942734116930396.5,1142996999161523.5
By3oxQfjpfSX8SVNJobFUoJZXKx8dS3a8FvuRQEmQRdZ,7.0,8694295241388266.0,7600388820252202.0,1143927691991390.0
A7giDCifGny8bhV6H6n4iK6bLv9drdpQB1nwjvFjm6eq,5.0,9147442599781298.0,7953939991173814.0,1150051749187430.2
9Gfm3EWAnGdVs2gi6wbuuvpb1hNLxM2NXCCUeeCaFqYu,5.0,1.475662827932269e16,1.2795707654390268e16,1153248314035966.5
2kekrinrRaYvZ7mKvyDoxWdZtnMFgKD6jJ7SxBsrczXg,4.0,4.968014473111922e16,4.288412668694696e16,1158473975552376.5
GaXDxJZN7aaBSEdYD5CFMGC8HKisLzYHUPmea6eXYzwo,1.0,9589548798578522.0,8271908601384471.0,1159290952147793.0
c5oAAZuhHe1UBDHpePWUJYqkQc9zgAhwc15tZhwe2U5,6.0,8.206171799238277e17,7.062465992532316e17,1161941424980352.0
GxqHGTWLky8tHXj36ygtC9demnAgTss16vKuh1MyHRZq,8.0,1.3121999755242637e17,1.1251622080079582e17,1166231825229400.5
F5hNztrfqPiovWbDkXLkTTmyPp3VgURtS6xZUK52B4M3,3.0,1.860499737218512e16,1.5941409891366534e16,1167086066977119.5
7gUkzEhQtjzhrEtHpW1S12iaNvg8kaS4awghpgUjwhSa,1.0,1.521264678929733e17,1.3034395688010914e17,1167115618815376.2
6PwFcrxEDsURAwPPRLAsN1y1FUbyJmZGQ7d7geCasAbH,6.0,3751611095492768.5,3213055906661255.0,1167614633693422.5
HRoGXgbd4m9Tpts49gLV7D4dHCasSmM33TB7VRpskTi3,10.0,4463104068993482.0,3820609034858059.0,1168165606130723.2
H1LyDuFSNW7JGSsmKxfAFnX5ZSaJSreVvASdrKiPKFqH,3.0,1.2549210446177693e17,1.071771504318543e17,1170884875704618.5
6CVzn5T72iCQK6ve7knqzFEH5QWRFJ4557pYZz7M3LMa,1.0,3.9396714707933144e16,3.354616133525802e16,1174403065501447.2
BLTDu431NKQKPg7kD7EnibxCZCJNAzzXW8vUWnYpVMQW,12.0,4.8942955505165485e17,4.164280044669203e17,1175304133731797.5
2JqSUxk2d3qWSipz5d82YdbeAFjbV7VbndyJ1wtSxrq7,11.0,4623898852460689.0,3927806202878070.0,1177221739981102.5
C7zJU9WHe1X5MvswSi9TiA2bFjrYDsDj82sh4ZEkQDmN,1.0,1.3343522310838198e17,1.1313938618790414e17,1179387900220442.2
AiBFQ62nKb4Jn2JVUsiRXZDkKt6pftXZHQXrjzXQMBAU,7.0,4156993105047249.0,3523229160329879.5,1179881556344189.2
6sxyWxyK3zA9YKmG8JhFiyTXRo1Fd8QXeyCFoWDHVDPa,1.0,1.1820550964459874e17,1.0017167863518e17,1180029238354854.8
7uWtCpSwkb4HhfXHSGkuLNAkZv8h1MsmZ3iqoiXp65E2,4.0,1.4472129957565043e17,1.2187726836482072e17,1187434716229852.2
B6qesTKUAtwkbFeT2pdqBgVkHzbjaVuwZKbhNZPpMc5s,12.0,4800555063308997.0,4030684401994757.5,1191002466214729.2
9uEyQLEMwVUFGAgeYTx2KkaTAAZeZEBiWQKvkoY9Fef7,5.0,1.2857807966786066e17,1.0768983115940115e17,1193966768111475.5
EiGqTYPavCVR9i3gikoC32mX7ySaL7JS73CgCXvHY2jw,2.0,5.096802405120236e16,4.260800121666519e16,1196207815335569.8
GyVmTJZwk1EA33LxXY74Lz1S29qFNhZ89LCB5hZTMoxA,3.0,2.6830636270814732e16,2.2334982195576176e16,1201283083007292.2
mYEf8KdphcWHyLAb9TLzzx2Uds6ysywwqW4CzrAXVuk,9.0,3994892208428649.0,3323493961050588.5,1202015786773334.5
9JizsTMy4Ur3yC34a9SBeauiEHni66HgnXCGrFasCnjA,7.0,4220176918389148.0,3509409352440136.5,1202531963236151.5
8sepMzLMT1Ffxu321ojX86nwjz6pycitwsiDZdCkD8Jp,5.0,5532444242735578.0,4596061294391370.0,1203735957457070.2
G5r9CFBLUU8uw7omWaNN5hZyH2iCXJ3VEUBW9o382YPv,2.0,3.917810883340012e16,3.2400434126519064e16,1209184688094462.0
56RNCY6t6619ajoTADDRoTZM5RuHn1SaHC6xKVnJh18A,8.0,2.8433111103921152e17,2.3362426491703e17,1217044433035197.2
EVyPkHWhVAQqBDGEUBBrKwhhx8tPJACibmXcAHhHwTC7,3.0,4.5737124610255046e17,3.7238852901202144e17,1228209814400017.8
22SdGEfxWuEmZD6NsLGVNUncFxXSAcsYB85tZJabXG1X,2.0,6.763591432080178e16,5.483342279720934e16,1233479707639990.8
CAvCmFNpDd6o7oyy8HcYKeYf4nm8vPaQ1r6vr7991VK4,6.0,1.257053938109741e17,1.017812830812779e17,1235054127885099.5
B8dfPqWMZGoCEd1KaEUqBEjsWvpL7nxwbcVkn8DY2qy3,2.0,4618639312484301.0,3728148558928379.0,1238856027188971.8
5RrphgpKnvjctppYTASz3cgcNw1T3zWUpHNfrdTBmkuN,5.0,2654544477045922.5,2140403490128701.0,1240207507270653.2
F7tje1W1dfoZJhWW5qUu4phsxp1KFozz3yuZ7x5exYKz,4.0,9.705272663189885e16,7.795023317702267e16,1245060119467442.5
8iJD189CkcLsymaGadkuEwDY4dLc3tKmJHjjimZ6qc2H,1.0,5.507831573480991e16,4.418581918707044e16,1246515663806609.0
6Ybq2yjN2NJY9VFtj3qAca2gN7j4qGmVLrVUPDyWuMA5,8.0,4008403238954653.5,3213878748272060.5,1247216697614920.5
9hsQD9aR3FK95TqMzgj4ekXyWpyqPBRwiRU1qoNdcurQ,4.0,2508063393852471.0,2006840535496441.8,1249757192706913.0
57dbqFqb22QBhzKHH4MoxcrxsdXcUkC5WVqebAsWNjjQ,5.0,6.914984514099705e16,5.526592840253244e16,1251220184655912.0
DwUVX7q7KyMv6ZZRtx8Xu1z6vrZWKCA3TU8dXc5AqrY3,4.0,5.802612510597891e16,4.632789671578356e16,1252509378139108.5
9do4vHQm5bHmNCVeAbxU3U6pEn2fjJks89CDV3ycVnXf,6.0,3844930295909303.0,3065633336512140.5,1254204229225857.5
DFpdkyg5HLQUGYjGdxjnhUPxWvEqn17jM1mNu6hVmNo1,6.0,1.2362233576946956e16,9842093725238134.0,1256057290457051.2
9XVKUoEJnMvBZGxcv3ZHvsScX66nepwvYTHmDPPgntxB,6.0,3325230329288833.5,2643801698338116.0,1257745742193546.8
3YZCZHhDMm8RJHdTtBNbxitC5r7EeAe722A7Xm5KsDim,4.0,7323789768955265.0,5805353738762506.0,1261557882348171.2
Ev4bd1vHTWK2qLapua8o3AKHyGkvogcvbFmtmiuq2HQm,1.0,1.3344799993593676e16,1.0563895508616306e16,1263246118130301.8
6JMTZsixy2oGG86CyJpZaTFPKwNyYjasVb4JS7Ehn4BR,10.0,1.995610693756978e17,1.5785293322658554e17,1264221483228591.8
7WmeauKhuTHYbE5XXGWEPKA6dRvYtmLrXNvHsZZtoF3w,6.0,6.775509704123105e17,5.3593626257409056e17,1264237965832070.2
5HaA8YxRSH5a4VpZNJnUPCznGtLZc4MntqQGwC5uPBxE,7.0,3596665951141715.5,2840009871207091.5,1266427271118259.2
BLLQqH9Anu5wtwkEBeWuuFdpJDvbCbowmfCVsVNT9Fzu,9.0,1.819662443639087e17,1.4354615437496547e17,1267649733677879.0
7JHcuGddzJ2w1HzJPX9kpXSnYx9FthFsQ4mEEujPqGet,4.0,1.0208649835453988e16,7972823800586676.0,1280430885065187.2
46QejU4ndTEspc5roYswTQNpG6bGzPzBpzkR5xHEePPN,6.0,1.878989057343715e16,1.4620802530859586e16,1285147688287153.0
9GCZhBLXUaPEJFuTrbY2QJZNVFJkEtN7dSXHuUQVrEm9,6.0,7.687630394994288e16,5.972274315999831e16,1287219907899907.8
FQR2oka3xf3uHEriCuCCurCSacNYj62KM7Cjv2TfmdhA,2.0,5.3475379246932344e16,4.144772556259437e16,1290188509045540.0
9DrkS2ShdgTnYajRGH6GaFAfMmCAnFH4xJd1wz84BCtV,2.0,1.972388795000647e17,1.5284023539951325e17,1290490550374361.0
24rGYT5NDczJamrKPD89a6iLNVrk1AGRFDxXiUKEuUwG,7.0,4701950590759633.0,3629488984908648.5,1295485565684387.2
CEBTbMZp8HF8ZvmucnThNTu4DPQQLPRWQxFS3qNFVhFz,7.0,9.796591404902414e16,7.555902368958512e16,1296548172081894.2
7aF8cU2Y9iRwaa5xJfyUJDcZzmgvXLQWNXUNrKXzgQiD,6.0,3395418157763472.0,2610172752704072.5,1300840396194430.2
9DeKk6W96ciP1kqozGG11NrkGkj6vG4qoQqYvkGAqkux,3.0,1.8558500167701436e16,1.4241337242372996e16,1303143086344684.0
2J5UazxxEz8SjUh8NBjzcchqDtyLUfkawyRyyGDWJgby,10.0,1.9329196452567485e18,1.483061152089622e18,1303331047767841.0
6wFPqFGdJGkkh8dySRs8CGfZ93tQuc6wZKP9tY4mrJUG,3.0,3.949844881069465e17,3.0293967666821926e17,1303838745888459.8
CJ2YH7AE4J8UVy3CaLPn5Td9bPiFMCYsW47p2CmgRrLu,2.0,5.7032396324421126e17,4.3730147843136237e17,1304189423941606.2
BxzK1ycN3bnovL4kYuErfdf3y8kxrTr3MbRbrS2MRUcE,3.0,2.15075348410503e16,1.6473635897315e16,1305573036524120.5
8qscGDNoTEApCJ9ChJa8w5nS4iiZDYis8fdB7CTnwmFG,5.0,3.034273570038972e17,2.3228490923575744e17,1306272361825855.0
34Gs1JbZL5zuxANaqY3feXgqEDTYgP9GmQ5YFsu7AKQw,2.0,2.5004426209332726e17,1.9122785807073462e17,1307572362186040.0
9NEGZ5xKiEFZfjM3VCiRCYSBg345ttQmWLwcG4pVhVc7,4.0,2266957868038905.0,1732752565271148.0,1308298665068871.2
A7AwKvHfBqdews9wiDjoWo16HJk8zAL51p4p4iwbNS4G,8.0,1.7746525554879443e17,1.3563217747890226e17,1308430335982767.5
3R2iztfLYjgTqGq7ceMrJdAtaPj1WzC8365sTMfoLDxg,1.0,9822212153707652.0,7502658860111495.0,1309164169242487.2
6Bbi4Z4Mx2m6DmJyem1viBXrGH3KdV4Mw7TjZmYFAJYS,8.0,8873762417453632.0,6766247200600149.0,1311474759105247.0
BPPUdazD2Xz1yLXxyCigVqof2ETJ6nTBvcL3mr9hnBwh,7.0,8.115001863675088e16,6.18706465621124e16,1311607735588859.2
H74Sx28iwm1H1wd7vShGYWPhsoFzURqZANHov5GgUPc6,3.0,4030202715899900.0,3071621465824193.0,1312076621660962.2
AtYz8Ufumbr3LASdM7AfmmMuwerTcpXvCFCwar5rFXwr,3.0,2909614187093730.0,2210635567201623.8,1316188986670888.5
HCFJXLwbSM6Z8jLi25JRBpgrhoRLh8ah3yBgTprJi1i3,1.0,3926952436313027.5,2977191162891406.5,1319012526054667.5
CfuEZMRJbrqTJ6FkcvC9x5Rc7DAjZBgkqaxzvzc6Kd6Y,3.0,7239957478562354.0,5485889533615864.0,1319741754586579.8
n58PbPXSyjcHrEQr1LHKK9eBaxHbkUQSArtqrMSQJT8,6.0,4.6027599490603944e16,3.4788613804594736e16,1323065062297044.0
9XaF9LQ26qJG9t4hVmQbEaUqiEmx2xqNQnNmEoP6JVfc,2.0,1.3591403167573264e16,1.0261065509688578e16,1324560607740020.2
6DCBqaZoKn5FaYgjw7wvxgGkpUoUwGdjqEKT8S9Xi7nZ,1.0,7.691866844856637e16,5.797656872487287e16,1326719917033776.2
3Ty2uaKNvLvW2ePTDPt53tpesTmBeqHv1hWoMHaiBRkj,4.0,9.228345784492779e16,6.953689464371551e16,1327115027465035.5
CNY23BTZEo69BrahwdNvRsnLNasaPPcsCc3DfH9Ymud8,8.0,4.2676820407383987e18,3.2146582132994785e18,1327569451421746.0
FMd998w2i4Xy2bsg8cP99Uy3QEvb5jpRfD71nBpG3cv,7.0,5.2765674164251864e16,3.972276380297151e16,1328348511346651.5
9Ui4DtmC89vXRA2fWkSkteV1ZqvWahuyEZkVWveYM7N,6.0,3.5605519088657892e16,2.6795629357573908e16,1328780847559896.2
GMg95gyVEWUBNAgtKvEC7jgTMegLQSovELv3Fzm5bDz,10.0,2.0709192867224118e17,1.5580255750049517e17,1329194667883311.2
EbJ5s37JbCAYjzthdj19o6bB2hF8jd4gdofXjVcA1ZHX,5.0,2.353401640561662e16,1.7702285081454432e16,1329433815879043.0
9p5fhrEtdnbtmfeSSUHWz8jq2b3CLpgn6p5eBjDkHVix,4.0,1.5529558309051414e17,1.1661078297218501e17,1331742906893581.0
HPBm91zQwnu3GV2WLQ2SgMQEHRwZ5saqiLfK4FZJf8vX,1.0,3.915652726074611e16,2.9386427193530004e16,1332469816860458.0
vCbiLLLYaBhsLMkPZrqctvJFU4KiXnswqHYVEC3VHzo,10.0,2.3966731172304544e17,1.7951754213613254e17,1335063464390014.0
BLjZboLHaexaXvFEashM92kbSqpneU8nzdWtjPNkKuFe,1.0,9.381341885369717e16,7.0085661648011864e16,1338553659161444.0
BDXHq6qJnaeVYiuvAByoQffh3xc5PCWVu3ESSSo67GnA,2.0,5425357657606108.0,4044619222004309.5,1341376619111643.8
WXuUyMY37YAwdi2A7M72Cs9AjzyBeay8gkY23f82URK,5.0,2709921919063476.0,2020214682504849.8,1341402942237536.5
akbShMqRrtdECsxndjVWpRtEDVpvg9Cytam7S3gnffP,8.0,5018848225083439.0,3738224885583997.0,1342575253949544.0
A5yTrRmttbmLfAvJDL7zVKKxkNYp55rZxLfd4xFgygKn,3.0,2043226050621162.2,1520655268736755.2,1343648420932720.0
3hxH6t9ZzraDTeUXPXjKNtyWxk2qAwigb3Suv2dMSzvK,5.0,3.009465558303829e17,2.2369681801153994e17,1345332305150884.5
4fq8xVyd2iSMweSResF4AeaBLXzzYyq9zminsrToq4RU,5.0,8165907189402703.0,6067646886972081.0,1345811208449823.0
HCBupZ8e815B16BbV4QJjH4CDyzcN7UzJFAjwjyeGMEM,9.0,5.125649640641439e16,3.805403162788349e16,1346939974918636.8
Fo81jpTWrTRu1eB5zhxD3FZ3RwV2FAKu1n2A8y71Mw6H,3.0,4.5200150442322176e17,3.350484098264327e17,1349063273147229.8
DBEvSKpki3cYvLGY6ivPhFHruNruuA7ZTvWHFHxDV6za,2.0,7632051250735912.0,5654393926767717.0,1349755844672588.0
9oaeiPy19WSMhTCsLad63yGATCzHEvRuxPmkvkEJZLP1,5.0,2.037394903396918e17,1.509384583830331e17,1349818280392573.8
GXXMJiGMb4S4GMsefVrUn4yRUh2PDRouUHKmo77EbsQ5,11.0,7.647225827456193e17,5.660028604311396e17,1351093141407641.5
mEF29RFeCSafDMrKLMt23cZtoDFD7fppRNZS7TGi5Wg,5.0,3450903633828379.5,2549777864976818.5,1353413440923315.0
GYf1w7Pk2niDBnxv2ism8CKhpGTjiF84keddJhh1TgAm,3.0,2611681686520529.5,1928996949778342.2,1353906592138797.0
7bqFaaVKDwNERxRAcPDuVoRwjZ7TKiqEngP7HtYgDCF7,8.0,4959376260524073.0,3662977940833346.0,1353919226550348.8
8WM8EnTx3SdNpqkHiPmv4TihSaggS8RFUF1Kf5R64UW6,3.0,3337169365522830.5,2463869062983718.0,1354442659173436.8
6e6SwaRNi1tytt5H7RzEsYkfMYqBzjTG7KDQGfgnkj2L,1.0,3139703910775948.5,2306870081749326.0,1361023291088449.5
AEevCbyTvhLjfogZ4cu9nY4FawCm19JfNdbuaxNALi3d,6.0,8729373411644516.0,6409861470299378.0,1361866157652983.2
FLMPcPQ5bC93by3ULBBvBWpNkNA1mfDmCtLiokMi4TAw,3.0,2066313277161575.2,1511999207989833.2,1366610026144583.2
BjaRz89nYi5BQ3C1hrMgHURQLuqrVmzoKKZj8DV9BfdQ,5.0,3.268218081222384e17,2.3900329762525606e17,1367436396775901.0
7fyRfoMUGkwdNBmUDCQvZkANUfmbJjH3niQz1hMKQog5,5.0,8.60470536138458e16,6.2911155019067496e16,1367755107782811.0
AraFc4La85bof36iu97i1T4gMnux3dGuQZ17FoPuGtBQ,3.0,1.1880817129675156e16,8675326872862220.0,1369495040796700.2
FL3mma5aLse75WWefLzEYZvt7CYQ9edTGGeeiLPjedzp,3.0,1.6343946930036008e16,1.1911906643818404e16,1372068084374853.5
AwoFYeEGkqQ6kjXPfZNDPdVjb55uGXomnF9js2HDVumN,2.0,4582757379457046.0,3335851212800545.0,1373789502922609.8
BCWP7miTM9x1tbPMK6iJTrERECMkPWjpgT1QTKndpMNu,3.0,2077397494889748.8,1511839778251134.5,1374085749544730.0
8B4Bm1uwR9XbgdmW7Hy28fcMfwSXXnvmAiVupqHcrMz6,3.0,8536696861356683.0,6205784312044881.0,1375603216629315.8
C932N5UjiNmSkpFcgYLTBfixS6sDnCjvrm6LPrb1PSzu,7.0,5072718560890774.0,3685808321460594.5,1376283875467669.8
GGKRYHUifNAyXACx9kDaWNXGpGpmeoevcihgPtrdPYd7,1.0,1.575009222165995e16,1.1429625015901408e16,1378006032546799.5
39xKmoWykPUG5hjcRVJuX9h28r9Fd4th7viZqMyQs85L,10.0,5941904482775265.0,4297744584795220.0,1382563427290872.0
F6Y7ZKTqWHeN9AXrJEeG2c84jQaW9HuYA1a79fJfQfFw,1.0,1.5648959721445254e16,1.1313906186442852e16,1383161523841958.5
DyT9RiwATCMQtT8piUXYYfSLxAYEt3WYJcR4T1FUESRK,4.0,2244457500149332.0,1621993527567316.5,1383764769712486.8
8aprrFM9MrzmtESujVmZSTrcPXRYBE4v5g9HA6KEnDyX,6.0,7.185201107818727e16,5.186163233911205e16,1385456026689681.8
EN1vxjHdbKfbizD8rdTYEowusa6ygVViDNV4i1zdBMPF,2.0,9168906800297854.0,6590728438335726.0,1391182611464593.2
Bq46c446Y1T5f6Rv5jjxNZ4ETsZUU7NCNBT895UnS5F4,3.0,8.299432007518923e16,5.96419484275559e16,1391542735663612.2
GthWwLcUDhz3mbXgqzUs6LFo6oqnKR82rJmU22MckU77,3.0,2289697909143085.0,1644087953608947.0,1392685777009043.8
8BGJTBtg3yETaG3s8rQTCZ5dnmxWCG4B8ZjzCgRwzACU,3.0,2120779652423189.5,1518861243337442.2,1396295851070064.2
5tGZCdf3oyW8VqbMUppCf5Kj56mJDm1pwYhkQXWYi3eV,2.0,1.403775380974696e16,1.0043140602327494e16,1397745423029696.2
Hm8XSwZ73RzAFdt6834MP5cGrnpJHuEYWnHChL1Gyrib,4.0,2895022415172039.5,2067389911667200.0,1400327242981181.8
G4RrbASpWzswsoXb2KkDrhSdacWs2UvvjgHZKz7qRFQm,6.0,5.878236871843881e17,4.195799425241653e17,1400981380682974.2
7SEpH77Jmw7FJnSZ89pNfYjeAYP7qGCYZxqjxRTft7xJ,7.0,2.7585491906325156e16,1.968923733655177e16,1401044206781667.0
GAohpkjS4fseLwTtaaayGv1Sg7qqFV5fMF29NdxVz7Bx,1.0,3096347121539390.0,2207467324275745.2,1402669515189893.0
5GLzxbTiTtaVjo2febiCJBM4kkVvV1EXgmkp2KgHgMih,1.0,1.384610481359793e16,9865644702985030.0,1403466801253093.8
4JCe1KZY8mw9fCSzbmZRz4beyDw1Xfnrv67z9BDN5EN4,2.0,3.7779667269626376e16,2.6874887600801456e16,1405760940503420.8
CsSHr2tpmXBVurKpubBgGTD7RKbUUxdHQ4NhPVZ9vV3Q,4.0,2369326214861832.5,1683763668045441.2,1407160790927512.5
Dec3v4nGQ6QCuDGh7Z54PjaAJrrotJKqSVZ3DjVVrrE9,2.0,2.182979341927699e16,1.550179961985551e16,1408210269426800.0
FKLa55FxcVAz6RmGVn9enxG8u9hnpRL6XrfSEni9yfT1,3.0,2.0313226940850044e16,1.4415373112779026e16,1409136397783742.0
GiRNFCZ8ofBjwMySh1dkxudfaaZB6ghFqoAvNdUK3YBu,4.0,9356951094468932.0,6634986198233551.0,1410244243908157.0
9FA95W8AQYbWdwPhrKiHpJmmoE6ryQwWc2ZPMZvdwYjv,6.0,9207260167464326.0,6528539712544369.0,1410309283984730.2
dLq8Vhuteq9gAE6yRtra2sUZHow65LM12cQpgto2H1S,1.0,2.358512201707878e16,1.669674807505393e16,1412557817310338.8
4uFPoSLocGcjbynwQFFFkjnCG58AkDmTKqBYUYptYB2q,7.0,2.0320288595724428e16,1.436874878011333e16,1414200283315424.2
AgRS8PtqkQPxSTxDZ1UPkdVndojgDcZbzTT7iFYTKEmP,3.0,2194371206184254.0,1551466671444732.2,1414385011661801.8
42oFHPbzuunsCFH4Ac2i1YcetRzY5RNgP8maAmE8o53v,3.0,8359275740634253.0,5894793374296406.0,1418077820519367.2
DPZhYixTU8v8jiD4cgiPm6hiA9j2FhtEcRp6XkiqcnCM,10.0,1.0712117587244045e17,7.547838515453773e16,1419229831866644.8
5GuFhVt6u8ocKXB7mTs6HW4VdqWAgvvmCM3obbbFbn89,5.0,3000952430103185.0,2112065914414753.8,1420861162344328.8
3p2Yf12yCG2SRRBNWoGHrmqNP1yXXge18EzTMj2KxmX7,5.0,5.973139293861465e16,4.2030230150330584e16,1421153125380752.8
6AHxDPbPa5TMpK4gSe8HWkgN5RV5hpxTxYkD4Z4NZonS,2.0,6.296271029766715e16,4.428481593470606e16,1421767460668684.8
BQJuT3N8aDwAwXU2greRzDvMAibrLQWAxBN6FPVQNRpi,1.0,2.3584071873130136e16,1.65644130888849e16,1423779505291110.2
219dgppzRZSj69txNQMgeamyaRaP2Tr75GdQhUuC2H5o,1.0,1.3608158275825594e17,9.55694859858435e16,1423902005483354.8
3QZ1G4hgar8AmFTy5a8SQRdjTE1doemn3Hvi93w4Ds84,1.0,3426743101129051.0,2403822163109307.0,1425539357161351.5
GCDTygk7beDJkRu7hmUmSernEWz33sBJAyCrHBTqaBAR,1.0,3614166758337856.5,2530626310122050.5,1428170861846270.5
FY9yTxc7o5oiCj6CfbKUoBVDgWEw6eBmHUtuWoXPFfVf,4.0,2.79444584916111e16,1.954904955207803e16,1429453560755880.8
H5KiQ4ozMAZHym9pUcKhoJmqKR7iF7qE1aDKfMdu3iAH,4.0,2958486746944608.5,2069392538469753.2,1429640192446190.2
3rxZg2cKgXRg3aHnp8rnzvGnEBvMqX2R8sYLadDg2kkn,1.0,2.512156121355614e17,1.75567364361607e17,1430878757273735.8
27Spf2Y16iRyERheyiUDf5AX1c2jHfrXNidq5MA3LAAq,4.0,4.40916249672845e17,3.0782929362911386e17,1432340127460644.0
6ZX6aczrLr6U5rWWVC8gv2i2pd94UWdV5sySBguSCF4f,1.0,4.7201188269041536e17,3.2923976473273005e17,1433641781009000.5
9DDJKozYkYr8oA3N9seMbRNCV28CSd2ibPgnHqQqAAiv,5.0,2510755968140602.5,1750729478651933.0,1434119890454973.2
