addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
22SdGEfxWuEmZD6NsLGVNUncFxXSAcsYB85tZJabXG1X,2.0,6.763812229200634e16,5.483342279720934e16,1233519974526351.5
CAvCmFNpDd6o7oyy8HcYKeYf4nm8vPaQ1r6vr7991VK4,6.0,1.258499785122776e17,1.017812830812779e17,1236474671003897.0
B8dfPqWMZGoCEd1KaEUqBEjsWvpL7nxwbcVkn8DY2qy3,2.0,4621369833539428.0,3728148558928379.0,1239588433908276.8
5RrphgpKnvjctppYTASz3cgcNw1T3zWUpHNfrdTBmkuN,5.0,2654523794318299.5,2140403490128701.0,1240197844266589.5
F7tje1W1dfoZJhWW5qUu4phsxp1KFozz3yuZ7x5exYKz,4.0,9.70847568940609e16,7.795023317702267e16,1245471026027392.0
6Ybq2yjN2NJY9VFtj3qAca2gN7j4qGmVLrVUPDyWuMA5,8.0,4008402013574401.5,3213878748272060.5,1247216316337234.5
8iJD189CkcLsymaGadkuEwDY4dLc3tKmJHjjimZ6qc2H,1.0,5.51768592124053e16,4.418581918707044e16,1248745869773328.5
9hsQD9aR3FK95TqMzgj4ekXyWpyqPBRwiRU1qoNdcurQ,4.0,2508056081301374.5,2006840535496441.8,1249753548894180.0
57dbqFqb22QBhzKHH4MoxcrxsdXcUkC5WVqebAsWNjjQ,5.0,6.9106516884886776e16,5.526592840253244e16,1250436188849405.5
DwUVX7q7KyMv6ZZRtx8Xu1z6vrZWKCA3TU8dXc5AqrY3,4.0,5.801748386355108e16,4.632789671578356e16,1252322854617852.0
9do4vHQm5bHmNCVeAbxU3U6pEn2fjJks89CDV3ycVnXf,6.0,3844855425648296.5,3065633336512140.5,1254179806781035.2
DFpdkyg5HLQUGYjGdxjnhUPxWvEqn17jM1mNu6hVmNo1,6.0,1.2368941729499788e16,9842093725238134.0,1256738868253413.0
9XVKUoEJnMvBZGxcv3ZHvsScX66nepwvYTHmDPPgntxB,6.0,3325218867405298.0,2643801698338116.0,1257741406814103.5
3YZCZHhDMm8RJHdTtBNbxitC5r7EeAe722A7Xm5KsDim,4.0,7324006840722418.0,5805353738762506.0,1261595274000242.8
Ev4bd1vHTWK2qLapua8o3AKHyGkvogcvbFmtmiuq2HQm,1.0,1.3329687777855002e16,1.0563895508616306e16,1261815564815348.0
7WmeauKhuTHYbE5XXGWEPKA6dRvYtmLrXNvHsZZtoF3w,6.0,6.77371459127976e17,5.3593626257409056e17,1263903016889686.0
6JMTZsixy2oGG86CyJpZaTFPKwNyYjasVb4JS7Ehn4BR,10.0,1.9960073930380714e17,1.5785293322658554e17,1264472792642351.0
5HaA8YxRSH5a4VpZNJnUPCznGtLZc4MntqQGwC5uPBxE,7.0,3596601937570827.0,2840009871207091.5,1266404731206853.2
BLLQqH9Anu5wtwkEBeWuuFdpJDvbCbowmfCVsVNT9Fzu,9.0,1.8199742757651098e17,1.4354615437496547e17,1267866968425393.2
7JHcuGddzJ2w1HzJPX9kpXSnYx9FthFsQ4mEEujPqGet,4.0,1.0219427906751164e16,7972823800586676.0,1281782736249504.5
46QejU4ndTEspc5roYswTQNpG6bGzPzBpzkR5xHEePPN,6.0,1.8793738775068724e16,1.4620802530859586e16,1285410888725258.2
9GCZhBLXUaPEJFuTrbY2QJZNVFJkEtN7dSXHuUQVrEm9,6.0,7.686179300368208e16,5.972274315999831e16,1286976936035371.5
9DrkS2ShdgTnYajRGH6GaFAfMmCAnFH4xJd1wz84BCtV,2.0,1.9723211465633334e17,1.5284023539951325e17,1290446289491657.5
FQR2oka3xf3uHEriCuCCurCSacNYj62KM7Cjv2TfmdhA,2.0,5.349096669506842e16,4.144772556259437e16,1290564583918756.5
24rGYT5NDczJamrKPD89a6iLNVrk1AGRFDxXiUKEuUwG,7.0,4701959979626593.0,3629488984908648.5,1295488152513276.8
CEBTbMZp8HF8ZvmucnThNTu4DPQQLPRWQxFS3qNFVhFz,7.0,9.792941795733077e16,7.555902368958512e16,1296065157745402.8
7aF8cU2Y9iRwaa5xJfyUJDcZzmgvXLQWNXUNrKXzgQiD,6.0,3395417591673809.5,2610172752704072.5,1300840179316194.2
6wFPqFGdJGkkh8dySRs8CGfZ93tQuc6wZKP9tY4mrJUG,3.0,3.94740736331896e17,3.0293967666821926e17,1303034124395061.0
9DeKk6W96ciP1kqozGG11NrkGkj6vG4qoQqYvkGAqkux,3.0,1.855721510502968e16,1.4241337242372996e16,1303052851653244.2
2J5UazxxEz8SjUh8NBjzcchqDtyLUfkawyRyyGDWJgby,10.0,1.9336221977073626e18,1.483061152089622e18,1303804765557309.2
CJ2YH7AE4J8UVy3CaLPn5Td9bPiFMCYsW47p2CmgRrLu,2.0,5.703844665121515e17,4.3730147843136237e17,1304327779906368.2
8qscGDNoTEApCJ9ChJa8w5nS4iiZDYis8fdB7CTnwmFG,5.0,3.030569680281876e17,2.3228490923575744e17,1304677815813682.8
BxzK1ycN3bnovL4kYuErfdf3y8kxrTr3MbRbrS2MRUcE,3.0,2.1509171774012064e16,1.6473635897315e16,1305672403353153.8
34Gs1JbZL5zuxANaqY3feXgqEDTYgP9GmQ5YFsu7AKQw,2.0,2.500156610996516e17,1.9122785807073462e17,1307422797190833.8
9NEGZ5xKiEFZfjM3VCiRCYSBg345ttQmWLwcG4pVhVc7,4.0,2266968008422452.0,1732752565271148.0,1308304517250971.8
A7AwKvHfBqdews9wiDjoWo16HJk8zAL51p4p4iwbNS4G,8.0,1.7745026215673696e17,1.3563217747890226e17,1308319791476765.0
3R2iztfLYjgTqGq7ceMrJdAtaPj1WzC8365sTMfoLDxg,1.0,9821272479267466.0,7502658860111495.0,1309038923718506.2
BPPUdazD2Xz1yLXxyCigVqof2ETJ6nTBvcL3mr9hnBwh,7.0,8.111687266882134e16,6.18706465621124e16,1311072005484661.0
6Bbi4Z4Mx2m6DmJyem1viBXrGH3KdV4Mw7TjZmYFAJYS,8.0,8873741329518723.0,6766247200600149.0,1311471642468464.0
H74Sx28iwm1H1wd7vShGYWPhsoFzURqZANHov5GgUPc6,3.0,4029165105498822.0,3071621465824193.0,1311738816233886.5
AtYz8Ufumbr3LASdM7AfmmMuwerTcpXvCFCwar5rFXwr,3.0,2909582497654992.5,2210635567201623.8,1316174651680894.0
HCFJXLwbSM6Z8jLi25JRBpgrhoRLh8ah3yBgTprJi1i3,1.0,3925965308035116.0,2977191162891406.5,1318680962435167.5
CfuEZMRJbrqTJ6FkcvC9x5Rc7DAjZBgkqaxzvzc6Kd6Y,3.0,7242293441635214.0,5485889533615864.0,1320167567585282.5
n58PbPXSyjcHrEQr1LHKK9eBaxHbkUQSArtqrMSQJT8,6.0,4.6050653489571144e16,3.4788613804594736e16,1323727750356324.0
6DCBqaZoKn5FaYgjw7wvxgGkpUoUwGdjqEKT8S9Xi7nZ,1.0,7.678897723907109e16,5.797656872487287e16,1324482957994155.8
9XaF9LQ26qJG9t4hVmQbEaUqiEmx2xqNQnNmEoP6JVfc,2.0,1.3596479701517862e16,1.0261065509688578e16,1325055345244600.8
3Ty2uaKNvLvW2ePTDPt53tpesTmBeqHv1hWoMHaiBRkj,4.0,9.218691613167381e16,6.953689464371551e16,1325726675083920.0
CNY23BTZEo69BrahwdNvRsnLNasaPPcsCc3DfH9Ymud8,8.0,4.266173109490514e18,3.2146582132994785e18,1327100060541669.8
FMd998w2i4Xy2bsg8cP99Uy3QEvb5jpRfD71nBpG3cv,7.0,5.2758793881973224e16,3.972276380297151e16,1328175303804679.8
EbJ5s37JbCAYjzthdj19o6bB2hF8jd4gdofXjVcA1ZHX,5.0,2.3513398357518664e16,1.7702285081454432e16,1328269104769540.0
GMg95gyVEWUBNAgtKvEC7jgTMegLQSovELv3Fzm5bDz,10.0,2.069770240119892e17,1.5580255750049517e17,1328457166124062.8
9Ui4DtmC89vXRA2fWkSkteV1ZqvWahuyEZkVWveYM7N,6.0,3.5599541946305496e16,2.6795629357573908e16,1328557783482070.8
9p5fhrEtdnbtmfeSSUHWz8jq2b3CLpgn6p5eBjDkHVix,4.0,1.5525173847043027e17,1.1661078297218501e17,1331366915763375.5
HPBm91zQwnu3GV2WLQ2SgMQEHRwZ5saqiLfK4FZJf8vX,1.0,3.915286980344998e16,2.9386427193530004e16,1332345356092497.5
vCbiLLLYaBhsLMkPZrqctvJFU4KiXnswqHYVEC3VHzo,10.0,2.3958321181260582e17,1.7951754213613254e17,1334594986995332.2
BLjZboLHaexaXvFEashM92kbSqpneU8nzdWtjPNkKuFe,1.0,9.380486914414406e16,7.0085661648011864e16,1338431669736616.5
BDXHq6qJnaeVYiuvAByoQffh3xc5PCWVu3ESSSo67GnA,2.0,5424344855534802.0,4044619222004309.5,1341126211838248.2
WXuUyMY37YAwdi2A7M72Cs9AjzyBeay8gkY23f82URK,5.0,2709695113018461.5,2020214682504849.8,1341290673948934.0
akbShMqRrtdECsxndjVWpRtEDVpvg9Cytam7S3gnffP,8.0,5018856530433828.0,3738224885583997.0,1342577475685967.8
A5yTrRmttbmLfAvJDL7zVKKxkNYp55rZxLfd4xFgygKn,3.0,2043235437452328.5,1520655268736755.2,1343654593818422.2
3hxH6t9ZzraDTeUXPXjKNtyWxk2qAwigb3Suv2dMSzvK,5.0,3.00884407513949e17,2.2369681801153994e17,1345054481277544.0
4fq8xVyd2iSMweSResF4AeaBLXzzYyq9zminsrToq4RU,5.0,8167043366253651.0,6067646886972081.0,1345998460093188.5
HCBupZ8e815B16BbV4QJjH4CDyzcN7UzJFAjwjyeGMEM,9.0,5.125332100483307e16,3.805403162788349e16,1346856530367678.8
9oaeiPy19WSMhTCsLad63yGATCzHEvRuxPmkvkEJZLP1,5.0,2.0361704563704624e17,1.509384583830331e17,1349007057699846.8
DBEvSKpki3cYvLGY6ivPhFHruNruuA7ZTvWHFHxDV6za,2.0,7632601098803345.0,5654393926767717.0,1349853087290374.2
Fo81jpTWrTRu1eB5zhxD3FZ3RwV2FAKu1n2A8y71Mw6H,3.0,4.524902021161773e17,3.350484098264327e17,1350521861454539.5
GXXMJiGMb4S4GMsefVrUn4yRUh2PDRouUHKmo77EbsQ5,11.0,7.6475176177512e17,5.660028604311396e17,1351144694202760.8
mEF29RFeCSafDMrKLMt23cZtoDFD7fppRNZS7TGi5Wg,5.0,3450867646892919.5,2549777864976818.5,1353399327170131.2
GYf1w7Pk2niDBnxv2ism8CKhpGTjiF84keddJhh1TgAm,3.0,2611419869646417.5,1928996949778342.2,1353770865187988.8
7bqFaaVKDwNERxRAcPDuVoRwjZ7TKiqEngP7HtYgDCF7,8.0,4959232235283600.0,3662977940833346.0,1353879907383594.2
8WM8EnTx3SdNpqkHiPmv4TihSaggS8RFUF1Kf5R64UW6,3.0,3338318819589185.0,2463869062983718.0,1354909183179774.2
