addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
DJMCDiBw1Yim2zJQjSysVXxfftSn5z7vv5Kh8yMFv14C,1.0,9.426434834974205e17,9.274053282217532e17,1016430955065662.2
Dkkob1jrSQQo3jUr2nBiqSPdXRTJsvkd79X2yZq1W212,2.0,3.9186364591749096e16,3.684929967379624e16,1063422234306796.4
72ydASQ9fBq9WAQsVWKeqA4ujTqJEu17FGQRcYaVFHki,7.0,9.658958263114698e16,9.071423967319354e16,1064767593038534.0
4jx1MNgbYkXoKeYjGWQ2eyx1aFPGvbd2dbV7386K45gF,1.0,6.0359125156937016e16,5.5218259088548216e16,1093100835724373.2
2pafBtnSbzF23pjct87P3BJhMfHr5aom1T4b7ntdPkS2,6.0,1.3605617639248834e16,1.24131748206404e16,1096062678230041.8
3KT4PL1e4Ujz6ZCxRGUGYai6QHDBQjZ8zQpvLXvXrjom,1.0,6201186443733201.0,5608590907484904.0,1105658541694929.8
43iDEWZEzvs6hFsxdDBMykgGhBVRS7P2fyzzq6JZJRFA,11.0,4805071365784527.0,4303031942043851.5,1116671089246485.5
Dy8AWZYpBahKGmPemPH3TgvgKLKLR8XXAEa3PXFruf8G,5.0,2.2181069984132788e16,1.974739108784845e16,1123240527594650.5
CTynEqMjkiwKR28DY94XbuwFFBS7qjF5TP7Y81ZLvYPG,4.0,7.975266820180978e16,7.048727890436742e16,1131447680226286.2
ChJyz27MhJKU1odhzewfzysSpWBVv2btBXHSdbWcpx66,7.0,3.049580272752211e17,2.6842139987478083e17,1136116671090623.8
71a8JgA4oY7fCfVua4FP2HcHGhDXvkKc2cRTFQdg3AyJ,12.0,1.8712176556654557e17,1.6382215440459402e17,1142225032057679.5
8Y4yFfR5iaNfFX3UAVfiMy2pS3s9QjNPexJN7aVFGvrF,5.0,4506735724268617.0,3942734116930396.5,1143048349346296.2
By3oxQfjpfSX8SVNJobFUoJZXKx8dS3a8FvuRQEmQRdZ,7.0,8693433881724338.0,7600388820252202.0,1143814360991582.2
A7giDCifGny8bhV6H6n4iK6bLv9drdpQB1nwjvFjm6eq,5.0,9148843570445502.0,7953939991173814.0,1150227884620405.2
9Gfm3EWAnGdVs2gi6wbuuvpb1hNLxM2NXCCUeeCaFqYu,5.0,1.4758515976030752e16,1.2795707654390268e16,1153395839812504.2
2kekrinrRaYvZ7mKvyDoxWdZtnMFgKD6jJ7SxBsrczXg,4.0,4.969097156035126e16,4.288412668694696e16,1158726442608802.5
GaXDxJZN7aaBSEdYD5CFMGC8HKisLzYHUPmea6eXYzwo,1.0,9589032633790164.0,8271908601384471.0,1159228552426854.2
c5oAAZuhHe1UBDHpePWUJYqkQc9zgAhwc15tZhwe2U5,6.0,8.207731653190956e17,7.062465992532316e17,1162162290320352.0
GxqHGTWLky8tHXj36ygtC9demnAgTss16vKuh1MyHRZq,8.0,1.3121941465542098e17,1.1251622080079582e17,1166226644669644.5
7gUkzEhQtjzhrEtHpW1S12iaNvg8kaS4awghpgUjwhSa,1.0,1.5209722804720925e17,1.3034395688010914e17,1166891290457822.0
F5hNztrfqPiovWbDkXLkTTmyPp3VgURtS6xZUK52B4M3,3.0,1.8606024582628984e16,1.5941409891366534e16,1167150503589117.2
6PwFcrxEDsURAwPPRLAsN1y1FUbyJmZGQ7d7geCasAbH,6.0,3752018899163334.5,3213055906661255.0,1167741554507256.0
HRoGXgbd4m9Tpts49gLV7D4dHCasSmM33TB7VRpskTi3,10.0,4463101830761500.5,3820609034858059.0,1168165020299521.8
H1LyDuFSNW7JGSsmKxfAFnX5ZSaJSreVvASdrKiPKFqH,3.0,1.2556712201376528e17,1.071771504318543e17,1171584815492960.2
6CVzn5T72iCQK6ve7knqzFEH5QWRFJ4557pYZz7M3LMa,1.0,3.9433910151596664e16,3.354616133525802e16,1175511849403479.8
BLTDu431NKQKPg7kD7EnibxCZCJNAzzXW8vUWnYpVMQW,12.0,4.895280995173982e17,4.164280044669203e17,1175540775995733.2
2JqSUxk2d3qWSipz5d82YdbeAFjbV7VbndyJ1wtSxrq7,11.0,4623899800068078.0,3927806202878070.0,1177221981237249.2
