addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
DJMCDiBw1Yim2zJQjSysVXxfftSn5z7vv5Kh8yMFv14C,1.0,9.430527358442687e17,9.274053282217532e17,1016872242531233.2
Dkkob1jrSQQo3jUr2nBiqSPdXRTJsvkd79X2yZq1W212,2.0,3.91983543043663e16,3.684929967379624e16,1063747605826020.4
72ydASQ9fBq9WAQsVWKeqA4ujTqJEu17FGQRcYaVFHki,7.0,9.656460926524491e16,9.071423967319354e16,1064492295951858.0
4jx1MNgbYkXoKeYjGWQ2eyx1aFPGvbd2dbV7386K45gF,1.0,6.038130906031408e16,5.5218259088548216e16,1093502585141019.8
2pafBtnSbzF23pjct87P3BJhMfHr5aom1T4b7ntdPkS2,6.0,1.3594329278848372e16,1.24131748206404e16,1095153292793715.4
3KT4PL1e4Ujz6ZCxRGUGYai6QHDBQjZ8zQpvLXvXrjom,1.0,6203662586536884.0,5608590907484904.0,1106100032765419.1
43iDEWZEzvs6hFsxdDBMykgGhBVRS7P2fyzzq6JZJRFA,11.0,4805071595501814.0,4303031942043851.5,1116671142631468.5
Dy8AWZYpBahKGmPemPH3TgvgKLKLR8XXAEa3PXFruf8G,5.0,2.2164536136115908e16,1.974739108784845e16,1122403260132669.0
CTynEqMjkiwKR28DY94XbuwFFBS7qjF5TP7Y81ZLvYPG,4.0,7.968876356474246e16,7.048727890436742e16,1130541067883454.8
ChJyz27MhJKU1odhzewfzysSpWBVv2btBXHSdbWcpx66,7.0,3.0485840921949114e17,2.6842139987478083e17,1135745545480756.0
71a8JgA4oY7fCfVua4FP2HcHGhDXvkKc2cRTFQdg3AyJ,12.0,1.871209671305717e17,1.6382215440459402e17,1142220158260379.5
8Y4yFfR5iaNfFX3UAVfiMy2pS3s9QjNPexJN7aVFGvrF,5.0,4506331892124701.0,3942734116930396.5,1142945924954506.5
By3oxQfjpfSX8SVNJobFUoJZXKx8dS3a8FvuRQEmQRdZ,7.0,8695156566005128.0,7600388820252202.0,1144041018379978.0
A7giDCifGny8bhV6H6n4iK6bLv9drdpQB1nwjvFjm6eq,5.0,9146048804773934.0,7953939991173814.0,1149876515905696.8
9Gfm3EWAnGdVs2gi6wbuuvpb1hNLxM2NXCCUeeCaFqYu,5.0,1.4754727947713536e16,1.2795707654390268e16,1153099800826656.0
2kekrinrRaYvZ7mKvyDoxWdZtnMFgKD6jJ7SxBsrczXg,4.0,4.966928304888817e16,4.288412668694696e16,1158220695771017.5
GaXDxJZN7aaBSEdYD5CFMGC8HKisLzYHUPmea6eXYzwo,1.0,9590064792104904.0,8271908601384471.0,1159353331164685.8
c5oAAZuhHe1UBDHpePWUJYqkQc9zgAhwc15tZhwe2U5,6.0,8.204628197419987e17,7.062465992532316e17,1161722860838603.2
GxqHGTWLky8tHXj36ygtC9demnAgTss16vKuh1MyHRZq,8.0,1.3122058290171853e17,1.1251622080079582e17,1166237027584119.0
F5hNztrfqPiovWbDkXLkTTmyPp3VgURtS6xZUK52B4M3,3.0,1.8603975863161172e16,1.5941409891366534e16,1167021988013533.0
